FECHA_CORTE;ANIO;MES;ID_CLASE;CLASE;ID_CATEGORIA;CATEGORIA;DEPARTAMENTO;ID_UBIGEO;NUMERO_ESTABLECIMIENTOS;NUMERO_HABITACIONES;NUMERO_PLAZAS_CAMA;PORCENTAJE_TNOH;PORCENTAJE_TNOC;PROMEDIO_PERMANENCIA;PROMEDIO_PERMANENCIA_NAC;PROMEDIO_PERMANENCIA_EXT;TOTAL_ARRIBOS;TOTAL_ARRIBOS_NAC;TOTAL_ARRIBOS_EXT;TOTAL_PERNOCT;TOTAL_PERNOCT_NAC;TOTAL_PERNOCT_EXT;TOTAL_EMPLEO
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;CUSCO;080000;1992;18974;33825;32.08;28.23;1.77;1.31;2.03;166778;58870;107908;295979;77261;218718;3677
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;HUANCAVELICA;090000;239;2539;3865;16.51;13.41;1.1;1.1;1.52;14616;14554;62;16066;15972;94;280
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;HUÁNUCO;100000;501;5308;7988;15.07;12.19;1.17;1.17;1.29;25816;25767;49;30185;30122;63;663
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;ICA;110000;792;7980;13424;18.73;12.04;1.12;1.11;1.15;44740;36762;7978;50105;40891;9214;1436
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;JUNÍN;120000;1515;15255;24762;18.65;15.05;1.23;1.23;1.69;93740;93377;363;115502;114887;615;2770
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;LA LIBERTAD;130000;1002;7413;12406;10.48;9.28;1.04;1.04;1.07;34286;33837;449;35676;35195;481;541
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;LAMBAYEQUE;140000;454;4528;6610;15.32;12.37;1.07;1.07;1.13;23703;23234;469;25342;24812;530;566
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;LIMA;150000;7139;55763;96308;18.91;16.96;1.07;1.07;1.1;2368059;2325689;42370;2534983;2488551;46433;39294
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;LORETO;160000;798;6837;10687;12.67;11.6;1.55;1.55;1.55;24801;15862;8939;38434;24600;13834;693
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;MADRE DE DIOS;170000;346;4842;7948;22.88;18.22;1.27;1.21;1.59;35369;29757;5612;44884;35951;8933;845
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;MOQUEGUA;180000;170;1755;3020;15.53;12.07;1.51;1.51;1.12;7500;7466;34;11301;11263;38;234
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;PASCO;190000;381;4050;6411;16.69;13.42;1.2;1.2;1.05;22233;22212;21;26662;26640;22;747
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;PIURA;200000;1163;10619;19126;21.77;16.75;1.54;1.47;1.97;64345;54543;9802;99333;80013;19320;2091
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;PUNO;210000;840;7396;12429;20.93;17.25;1.2;1.2;1.27;55261;51907;3354;66478;62222;4256;1346
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;SAN MARTÍN;220000;882;9273;14540;21.96;17.36;1.28;1.25;2.05;61093;58970;2123;78252;73895;4357;1621
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;TACNA;230000;430;4004;7176;12.37;9.45;1.26;1.25;1.32;16639;12909;3730;21025;16088;4937;461
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;TUMBES;240000;250;2429;4632;11.31;10.17;1.43;1.43;1.35;10237;9641;596;14602;13799;803;338
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;UCAYALI;250000;546;5406;8333;26.44;25.24;3.73;3.77;2.42;17495;16909;586;65202;63782;1420;975
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AMAZONAS;010000;18;265;378;19.37;17.28;1.03;1.02;1.52;1975;1954;21;2025;1993;32;43
20260330;2024;05;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;ÁNCASH;020000;51;937;1502;25.63;20.3;1.09;1.09;1.61;8683;8634;49;9452;9373;79;142
