AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;SAN MARTÍN;220000;40;905;1463;31,36;26,28;1,51;1,49;2;7876;7470;406;11921;11110;811;180
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;TACNA;230000;61;1411;2914;21,79;18,26;1,55;1,46;1,59;10672;3880;6792;16491;5663;10828;308
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;TUMBES;240000;9;247;488;10,06;7,42;1,39;1,38;1,49;806;736;70;1122;1018;104;54
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;UCAYALI;250000;4;122;211;10,81;15,38;2,42;2,42;2,35;416;396;20;1006;959;47;23
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;ÁNCASH;020000;58;1618;2934;28,18;23,8;1,72;1,67;1,96;12604;10692;1912;21646;17901;3745;382
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;APURÍMAC;030000;6;188;309;38,28;31,66;1,8;1,82;1,5;1686;1558;128;3033;2841;192;54
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;AREQUIPA;040000;102;2576;4900;38,64;35,97;1,7;1,86;1,6;32239;11932;20307;54646;22188;32458;826
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;AYACUCHO;050000;9;279;544;30,79;29,7;2,45;2,47;2,3;2047;1800;247;5008;4441;567;110
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;CAJAMARCA;060000;97;2357;4015;24,96;21,3;1,61;1,6;1,94;16478;15872;606;26517;25343;1174;489
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;CALLAO;070000;3;160;288;44,58;38,62;1,89;1,74;1,99;1824;719;1105;3448;1252;2196;53
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;CUSCO;080000;81;2817;5625;53,73;51,43;1,76;1,97;1,72;50919;7889;43030;89689;15580;74109;999
2019;07;TT;TODAS CONSOLIDADAS;03;3 ESTRELLAS;HUANCAVELICA;090000;3;77;123;15,84;11,57;1,29;1,28;1,5;343;339;4;441;435;6;11
